A11_grad_r,B11_grad_r,dx,A11,B11
51.07067984152408,-27.588214739567434,1.5,1638.694986962551,350.60875171327103
28.62186178953399,-22.188132961620575,2.0,1633.5035917968955,353.44674083972734
19.310624186174667,-18.22363311463458,2.5,1631.5516098190014,355.61071316802906
15.06875259851186,-15.015085891993344,3.0,1630.8132901714268,357.368216356007
12.9220585966725,-12.336799627293061,3.5,1630.5278343902785,358.8383649950923
11.712714032908142,-10.041739542648095,4.0,1630.407095842593,360.09715128976273
10.9372745742754,-8.040876686953851,4.5,1630.333060184689,361.19240284692563
10.357581064113287,-6.27773386174896,5.0,1630.255207357994,362.1555586599206
9.857401609725201,-4.713760036775884,5.5,1630.1528817907786,363.00836912305203
9.378910694804194,-3.3215991923708703,6.0,1630.018922353528,363.76638869856765
8.893694913372538,-2.081207926015928,6.5,1629.8524175260366,364.44106609525033
8.388756875622171,-0.9774693572321085,7.0,1629.6553593338065,365.0410576209969
7.859432061949461,0.001345002943929141,7.5,1629.4310478815942,365.57308507082064
7.305656559989405,0.8646036105305575,8.0,1629.183313947227,366.04251380815106
6.729930331299295,1.6200224229079776,8.5,1628.916135833063,366.4537523123816
6.13617037695523,2.274162719158456,9.0,1628.633450417403,366.81053403358857
5.529045886208113,2.8327873160152315,9.5,1628.3390610429178,367.1161194213166
4.913581587405984,3.301118422287982,10.0,1628.0365937479262,367.3734423934432
4.294913964337699,3.6840257138385457,10.5,1627.7294773164292,367.58521730870206
3.6781364828109586,3.986163328008587,11.0,1627.420934670655,367.75401712697175
3.068197697350649,4.212069200673287,11.5,1627.1139793045422,367.8823303077188
2.4698315263047093,4.366235729208617,12.0,1626.8114136586225,367.9726016189025
1.8875075958060874,4.453158533271594,12.5,1626.5158280085284,368.02726063772906
1.3253944738398307,4.477368112905831,13.0,1626.229599307072,368.0487406913069
0.7873317405212954,4.443447880746289,13.5,1625.954889861382,368.03949028954264
0.276808237924672,4.356041642374995,14.0,1625.6936459407084,368.0019786115033
-0.20305478715050587,4.219852391502473,14.5,1625.4475965026375,367.93869625642475
-0.6495166144062641,4.039634230859708,15.0,1625.2182522535732,367.8521522180417
-1.0602263038444897,3.8201788609633605,15.5,1625.0069052537835,367.7448678560611
-1.4332289653334342,3.5662978225196156,16.0,1624.8146292553313,367.6193685021218
-1.7669685629677159,3.282801188795954,16.5,1624.6422809320968,367.47817323431417
-2.0602879786028336,2.974473937875536,17.0,1624.490502129014,367.3237832760873
-2.312425859952759,2.646050509138014,17.5,1624.3597232261786,367.1586694140735
-2.523010643573448,2.302188173786642,18.0,1624.250167682462,366.9852587808341
-2.692051660583572,1.9474399336551311,18.5,1624.1618578002324,366.8059213059757
-2.8199274337159617,1.586227262821767,19.0,1624.0946217075652,366.6229561168367
-2.9073712886655123,1.2228134247336873,19.5,1624.0481015675923,366.438578119233
-2.95545441749009,0.8612774929109859,20.0,1624.021762965065,366.254904987079
-2.965566470594597,0.5054896808779015,20.5,1624.014905403539,366.0739447601837
